COUNTY,STATE,ZHVI_2020,ZHVI_2021,ZHVI_2023,WFIR_AFREQ_2020,WFIR_EXPT_2020,WFIR_RISKS_2020,WFIR_AFREQ_2021,WFIR_EXPT_2021,WFIR_RISKS_2021,WFIR_AFREQ_2023,WFIR_EXPT_2023,WFIR_RISKS_2023
Los Angeles County,CA,643165.5443002443,733668.2395969173,812801.9231682433,0.0103504517621,1015404664052.2393,89.60280830437203,0.0103504517621,1042453714950.9152,89.59134790613459,0.008078847079291,1456407853500.058,99.90454979319122
Cook County,IL,238414.0352138797,262141.84403336365,285325.1279625999,3.061133755e-06,5167480224.699492,2.027803568291467,3.061133755e-06,5305273041.597987,1.997877180781549,9.9748356808e-05,112637067535.61996,60.73814826598791
Harris County,TX,208278.60518313028,235197.96041119416,280060.5740132891,0.000257041793943,84414401141.51526,12.066122379871674,0.000257041793943,86666478107.40303,11.81034394909488,0.000230020027887,2666149189281.848,87.94145720649061
Maricopa County,AZ,318730.2100737579,394411.7625892481,456247.7062529114,0.002113927057549,892452928096.8188,41.92682241396955,0.002113927057549,916343482350.8008,41.924991348954336,0.001852223563472,3140920759486.189,99.71364937957364
San Diego County,CA,618044.7371532639,726260.7947122586,855023.8720885034,0.018602204735884,1257378104311.4175,83.86048345942567,0.018602204735884,1291466218834.619,83.83057274087193,0.027117099331005,1983426973890.008,100.0
Orange County,CA,733181.3237019492,835259.7239774206,1001799.1598723172,0.010438880330277,252124563189.3294,37.449400042399766,0.010438880330277,258844851032.0453,37.44278217764309,0.014631130695514,513844030157.72906,99.77728285077951
Kings County,NY,780235.9158763356,808929.6555591166,824829.9849960837,1.664846237e-06,153831432.81951734,1.024834744470985,1.664846237e-06,157891147.6385869,1.024379326402802,0.000104768053221,21872964312.230003,18.135539293668472
Miami-Dade County,FL,326551.0009243738,369077.46250574215,490986.2182668213,0.023431543508089,274420691242.404,54.36699662861072,0.023431543508089,281943148399.99054,54.45182287425213,0.006409701988942,545792250594.3906,98.66369710467704
Dallas County,TX,220797.5087081646,253616.71875059992,309411.68279893434,0.000105923870696,103217142783.73,10.475016434949234,0.000105923870696,105979165058.40942,10.46178965800534,0.000178108280023,1473177339234.1323,84.66433343938911
Riverside County,CA,405294.897758254,487016.19021444273,573350.4906689305,0.011184648197533,1121596119881.5515,100.0,0.011184648197533,1151876002116.7114,100.0,0.024445650002427,2067245773272.4185,99.96818326439708
Queens County,NY,676888.0561308356,699083.796044313,694251.649073345,1.622056896e-06,136407980.8249912,0.694171034752898,1.622056896e-06,140051718.4886865,0.69355204833575,2.3313313831e-05,46157231731.36249,11.89945911549475
King County,WA,628771.2445566555,727798.4377966771,793916.2449798109,0.000450474713836,21654367756.06152,2.881825342749498,0.000450474713836,22235894320.45892,2.885920334768318,2.7193904771e-05,1858596080006.4768,71.52402163538021
Clark County,NV,295781.29078681435,341125.5854005269,399128.2550710577,0.002826200595039,241045830606.55145,40.7506397086468,0.002826200595039,247466203819.4974,40.74491372445579,0.004481471488735,1162768633659.2175,99.36366528794144
San Bernardino County,CA,368488.8139137397,438875.57161364943,511475.4675692606,0.00211916443315,904450312530.3822,74.85955488066925,0.00211916443315,928722549712.7148,74.85520657599265,0.00973805178315,1642882949033.183,99.93636652879412
Tarrant County,TX,230248.97042881776,267163.2347259488,323712.1720324452,0.000760734028594,119864735240.20947,16.622581426203094,0.000760734028594,123060766527.11456,16.591416165009544,0.000906388220982,1879495867940.9976,95.32293986636972
Bexar County,TX,199617.8616243899,227635.66357192345,267590.463738964,0.000515342664436,273659620229.25983,20.69647167529665,0.000515342664436,280957413164.07666,20.68938789730952,0.000525435751256,1747333535096.9456,95.22748965956092
Santa Clara County,CA,1141128.3143426876,1297768.9154972646,1417978.750923148,0.010337043005304,149734369355.78537,17.984914030517714,0.010337043005304,153820055261.99515,17.995609609981365,0.005471527381595,340233091747.46106,96.91377664651608
Broward County,FL,283341.3772974073,321192.5750601257,418149.7248506946,0.021859591876499,413935405331.1794,41.785699750441125,0.021859591876499,424943409223.60815,41.7908293485924,0.011278308449972,594277520606.2928,98.8545975182946
