COUNTY,STATE,YEAR,ZHVI,WFIR_AFREQ,WFIR_EXPT,WFIR_RISKS
Los Angeles County,CA,2020,643165.5443002443,0.0103504517621,1015404664052.2393,89.60280830437203
Cook County,IL,2020,238414.0352138797,3.061133755e-06,5167480224.699492,2.027803568291467
Harris County,TX,2020,208278.60518313028,0.000257041793943,84414401141.51526,12.066122379871674
Maricopa County,AZ,2020,318730.2100737579,0.002113927057549,892452928096.8188,41.92682241396955
San Diego County,CA,2020,618044.7371532639,0.018602204735884,1257378104311.4175,83.86048345942567
Orange County,CA,2020,733181.3237019492,0.010438880330277,252124563189.3294,37.449400042399766
Kings County,NY,2020,780235.9158763356,1.664846237e-06,153831432.81951734,1.024834744470985
Miami-Dade County,FL,2020,326551.0009243738,0.023431543508089,274420691242.404,54.36699662861072
Dallas County,TX,2020,220797.5087081646,0.000105923870696,103217142783.73,10.475016434949234
Riverside County,CA,2020,405294.897758254,0.011184648197533,1121596119881.5515,100.0
Queens County,NY,2020,676888.0561308356,1.622056896e-06,136407980.8249912,0.694171034752898
King County,WA,2020,628771.2445566555,0.000450474713836,21654367756.06152,2.881825342749498
Clark County,NV,2020,295781.29078681435,0.002826200595039,241045830606.55145,40.7506397086468
San Bernardino County,CA,2020,368488.8139137397,0.00211916443315,904450312530.3822,74.85955488066925
Tarrant County,TX,2020,230248.97042881776,0.000760734028594,119864735240.20947,16.622581426203094
Bexar County,TX,2020,199617.8616243899,0.000515342664436,273659620229.25983,20.69647167529665
Santa Clara County,CA,2020,1141128.3143426876,0.010337043005304,149734369355.78537,17.984914030517714
Broward County,FL,2020,283341.3772974073,0.021859591876499,413935405331.1794,41.785699750441125
Wayne County,MI,2020,119202.2714274594,6.079787442e-06,1098169556.011775,1.225707576962654
Alameda County,CA,2020,851715.3216709876,0.004685229245489,101815263661.46678,20.917228121137605
New York County,NY,2020,1258010.9739332944,9.57775734e-07,0.0,0.0
Middlesex County,MA,2020,568448.4600598603,5.3426438613e-05,146992258436.5267,4.279017280329841
Philadelphia County,PA,2020,184930.20672009583,5.2675326903e-05,2545869328.5732126,3.926000374468003
Sacramento County,CA,2020,401775.8216862054,0.001447238363526,42709257571.502205,16.324684998084606
Suffolk County,NY,2020,475659.25761212345,2.4622918922e-05,65602265213.82961,4.311264864302805
Palm Beach County,FL,2020,304526.0161974448,0.005390064614834,194881893938.1032,41.28651269140863
Bronx County,NY,2020,533031.5008499898,4.728413089e-06,5970109.772504827,0.900061491461332
Hillsborough County,FL,2020,246279.20066649056,0.001475460675379,512859954672.4056,26.40280911237585
Orange County,FL,2020,269718.20511426,0.009382293366156,377915586815.38464,40.22407088355094
Nassau County,NY,2020,596374.5018118954,1.7294850991e-05,10448900310.636776,1.866553305575694
Franklin County,OH,2020,198174.9994000588,7.940849384e-06,1941744030.0500484,0.921464249110992
Oakland County,MI,2020,253435.7229410436,1.5557939406e-05,8983693447.606852,1.296761066279665
Hennepin County,MN,2020,307723.1543939815,0.000116560422402,167443798060.6644,9.207328942144548
