,RegionName,StateName,2000-mean,2001-mean,2002-mean,2003-mean,2004-mean,2005-mean,2006-mean,2007-mean,2008-mean,2009-mean,2010-mean,2011-mean,2012-mean,2013-mean,2014-mean,2015-mean,2016-mean,2017-mean,2018-mean,2019-mean,2020-mean,2021-mean,2022-mean,2023-mean,2024-mean
0,Los Angeles County,CA,213750.83965364817,234139.46111346676,265131.2403470224,314678.0483127688,390284.9038168842,475832.05973968765,541936.472397938,538077.7639701796,453854.4583082311,374757.0778574236,371262.9193370975,350625.07032509794,340522.4681659122,391699.1765918772,442919.9082047466,467469.6224859955,485561.5514171112,527628.4534177922,588487.4255001984,609806.9107014261,643165.5443002443,733668.2395969173,819684.1155123623,812801.9231682433,855976.8343783846
1,Cook County,IL,150210.4132156401,165403.94390384457,180493.45607881548,196294.18206137943,213976.8040317009,236722.7787003604,256811.21802025803,259809.67197142344,243499.2404660882,210295.9569026439,193117.5577583824,173501.6128042911,157740.30421343728,165097.49688920466,185104.71402601976,194762.4450182052,206406.3670075305,217451.7959922745,228673.40234019357,231991.5204671549,238414.03521387975,262141.84403336365,281281.01469179726,285325.1279625999,300366.00328745856
2,Harris County,TX,109971.04271352604,111722.83984007114,114795.3378087489,118537.15217135852,125395.939732319,131565.66281332428,133368.0159967942,137576.44919651665,136385.78638598192,132484.30409214328,131687.1734703804,125568.45552669172,123980.25565077008,131211.0243744233,147302.25500638896,163725.4052666687,174802.69413012054,182425.52839407613,191006.14562238057,199925.2124473868,208278.60518313028,235197.96041119416,276126.627835722,280060.5740132891,282417.93145986303
3,Maricopa County,AZ,146700.65361656377,155012.1100354649,162458.54602335542,170979.9262004762,185636.3265092872,243192.25343741,301535.7199934406,285451.3290331476,233940.6088799578,174917.43879999,156998.138106072,138723.7838022158,150940.02287475285,186249.7291456548,207925.8209848592,218939.4265367461,238387.14369151785,253519.08923266616,272634.46761665377,289608.554211631,318730.2100737579,394411.7625892481,478525.25647264096,456247.7062529114,467772.8602332322
4,San Diego County,CA,226153.7991479902,263289.8294536069,300752.8430759392,360413.0685840771,442274.2457354653,521261.07425433537,528748.7582977794,493773.51119549776,419940.3488474746,356084.53473595734,360770.661567336,341243.64995014976,338887.11268802977,392042.1800071296,438371.0889990339,469135.640606506,505484.0540417205,542672.7835867334,576756.0686948915,586231.4753008683,618044.7371532639,726260.7947122586,850996.2486242498,855023.8720885034,925926.2167928456
5,Orange County,CA,262699.7406437387,296972.7878558864,336745.7179800501,399260.192716794,503803.1217984206,594471.1208104661,650455.5495246453,624946.9043235694,518743.1772520796,457812.9012137407,462036.6624903486,435380.51616513456,426887.74212356686,495697.5458773537,552430.6994019303,574987.6151491823,595560.871955131,647269.0280428162,698534.8249639226,700814.8709758158,733181.3237019492,835259.7239774206,983020.1730509336,1001799.1598723172,1108155.6275884055
6,Kings County,NY,210985.55767705807,237697.1986996817,252494.17568192963,299907.78828950785,350698.6519180741,417721.4151776847,471849.5094170731,479814.6126641701,474551.3957020877,438569.97235749086,430422.86104401614,433742.4938797348,444721.6450665665,475140.040506958,526079.6646159816,578367.3424291929,632465.4394284257,680853.9401501751,737015.6130261788,771780.3895156211,780235.9158763356,808929.6555591166,849875.1128304624,824829.9849960837,842533.364157923
7,Miami-Dade County,FL,122853.86639728144,133040.84210750498,150803.28039944082,175838.0718958107,205453.5413153389,257139.5543296188,316453.4570682364,327862.62219022465,272077.9711340342,195585.03972733227,168821.20140930402,156499.85108835212,159165.7391176067,184523.1450392503,213299.19048683136,238012.6209596348,261422.97989199267,280002.0410584649,297880.9199020152,310175.3786389073,326551.0009243738,369077.46250574215,449370.6834918105,490986.2182668213,526750.5998611031
8,Dallas County,TX,95207.58998432144,97923.165441147,101060.04170253235,104366.84834087185,111153.80741445516,114963.34716259535,116494.5490802704,118049.10093076342,114712.39874786387,109857.02828399316,108729.584970257,103167.35860920884,103998.19141493372,113827.4524812307,125560.95016968886,138793.28811989696,159005.36745378692,179664.77701288392,199026.88630267957,209654.83704515104,220797.5087081646,253616.71875059992,304041.6465758316,309411.68279893434,312828.9541359001
9,Riverside County,CA,155647.72745223044,174441.07204864145,195912.47033317172,229906.85988614685,286279.1846365247,360796.6850959973,404805.64439721726,391514.2082409323,296830.3344487106,213393.9131980882,206552.55297150576,200337.02198998272,200397.52431808505,238661.3011339465,283903.36277692864,304704.570842856,322248.2759182492,341556.233629284,372592.2755878268,384929.868757563,405294.897758254,487016.19021444273,577113.8551144431,573350.4906689305,600652.2884928465
